	en	fr	pt	es	it	ru	sv	de	is	hu	eo	et
gif_encoding	encoding...	encodage en cours...	a codificar...	codificando...	codificando...	обрабатываю...	kodar...	Verarbeiten...	umrita...	tömörítés	ĉifras...	kodeerib...
gif_snapshot	snapshot	capture d'écran	captura de ecrã	captura	istantanea	сделать снимок	ta en bild	Schnappschuss	skjáskot	pillanatkép	ekranbildo	pildista
gif_download	download gif	télécharger le gif	descarregar gif	descargar gif	scaricare gif	скачать гифку	ladda ned gif	GIF herrunterladen	hala niður gif	gif letöltése	elŝuti GIF-bildon	lae alla gif
avatar_label	avatar	avatar	avatar	avatar	avatar	аватар	avatar	Avatar	leikpeð	avatár	avataro	avatar
tile_label	tile	tile	tile	tile	tile	тайл	ruta	Tile	flís	tile	kahelo	kild
sprite_label	sprite	sprite  	sprite	sprite	sprite	спрайт	sprite	Sprite	sproti	sprite	rolulbildo	kuju
item_label	item	item	item	item	item	предмет	föremål	Gegenstand	hlutur	tárgy	objekto	ese
grid_toggle_visible	grid	grille	grelha	grid	grid	сетка	rutnät	Gitter	rúðustrik	négyzetháló	krado	ruudustik
wall_toggle	wall	mur	parede	pared	muro	стена	vägg	Wand	veggur	fal	muro	sein
animation_title	animation	animation	animação	animación	animazione	анимация	animation	Animation	hreyfimynd	animáció	animacio	animatsioon
animation_preview	preview	aperçu 	pré-vizualizar	previsualizar	previsualizzare	предпросмотр	förhandsvisning	Vorschau	sýnishorn	előnézet	antaŭvido	eelvaade
animation_frame1	frame 1	calque 1	frame 1	frame 1	frame 1	кадр 1	bild 1	Frame 1	rammi 1	1. képkocka	animaciero 1	kaader 1
animation_frame2	frame 2	calque 2	frame 2	frame 2	frame 2	кадр 2	bild 2	Frame 2	rammi 2	2. képkocka	animaciero 2	kaader 2
play_game	play	jouer	jogar	jugar	giocare	играть	spela	Spielen	spila	lejátszás	ludi	mängi
room_tool_advanced	room tools	outils d'édition de salle	outras ferramentas para a edição de sala	herramientas de juego	utensili di gioco	настройки пространства	rum-verktyg	Raum-Werkzeuge	rýmistól	szoba eszközök	ĉambraj iloj	toa tööriistad
walls_toggle_visible	walls	murs	paredes	muros	muri	стены	väggar	Wände	veggir	falak	muroj	seinad
room_add_exits	add exits	ajouter une sortie	adicionar saídas	añadir salidas	aggiungere uscite	добавить точку выхода	lägg till utgångar	Ausgang hinzufügen	bæta við útgönguleiðum	kijárat hozzáadása	aldoni elirejojn	lisa väljapääsud
room_add_endings	add endings	ajouter une fin	adicionar finais	añadir finales	aggiungere finali	добавить концовку	lägg till slut	Ende hinzufügen	bæta við endalokum	befejezés hozzáadása	aldoni finojn	lisa lõpud
items_label	items	items	items	items	items	предметы	föremål	Gegenstände	hlutir	tárgyak	objektoj	esemed
variables_label	variables	variables	variáveis	variables	variabili	переменные	variabler	Variablen	breytur	változók	variabloj	muutujad
dialog_start_preview	preview	aperçu	pré-vizualizar	previsualizar	previsualizzare	предпросмотр	förhandsvisning	Vorschau	sýnishorn	előnézet	antaŭvidi	eelvaade
dialog_show_code	show code	afficher le code	mostrar códiogo	mostrar código	mostrare codice	показать код	visa kod	Code zeigen	sýna kóða	forráskód mutatása	montri kodon	näita koodi
dialog_hide_code	hide code	cacher le code	esconder código	esconder código	nascondere codice	спрятать код	göm kod	Code verbergen	fela kóða	forráskód elrejtése	malmontri kodon	peida kood
dialog_block_new	new section	nouvelle section	nova secção	nueva sección	nuova sezione	новая секция	ny replik	Neuer Absatz	nýr hluti	új szakasz	novan sekcion	lisa dialoogi kast
dialog_effect_new	text effects	effets de texte	efeitos do texto	efectos de texto	efetti di testo	эффекты текста	texteffekter	Text Effekte	textaáhrif	szövegeffektek	tekstefikoj	teksti efektid
dialog_block_basic	dialog	dialogue	diálogo	diálogo	dialogo	фаза	dialog	Dialog	samtal	párbeszéd	dialogon	dialoog
dialog_block_list	list	liste	lista	lista	lista	список	lista	Liste	listi	lista	liston	list
dialog_block_conditional	conditional	conditions	condicional	condicional	condizionale	условие	villkor	Bedingungen	skilyrt	feltételes	kondiĉan esprimon	tingimusega
dialog_effect_color1	color 1	couleur 1	côr 1	color 1	colore 1 	цвет 1	färg 1	Farbe 1	litur 1	szín 1	koloro 1	värv 1
dialog_effect_color2	color 2	couleur 2	côr 2	color 2	colore 2	цвет 2	färg 2	Farbe 2	litur 2	szín 2	koloro 2	värv 2
dialog_effect_color3	color 3	couleur 3	côr 3	color 3	colore 3	цвет 3	färg 3	Farbe 3	litur 3	szín 3	koloro 3	värv 3
dialog_effect_wavy	wavy	vague	ondulado	ondulado	ondulato	волнистый	vågor	wellig	bylgjað	hullámos	onda	lainetav
dialog_effect_shaky	shaky	tremblement	tremido	tembloroso	tremante	дрожащий	skakig	zitternd	hristist	remegő	ŝancela	värisev
dialog_effect_rainbow	rainbow	arc-en-ciel	arco-íris	arcoiris	arcoballeno	радужный	regnbåge	Regenbogen	regnbogi	szivárványos	ĉielarka	vikerkaar
dialog_no_selection	Select a sprite or item to edit its dialog.	sélectionner un sprite ou un item pour éditer ses lignes de dialogue	seleciona um sprite ou item para editares o seu diálogo	Selecciona un sprite u objeto para editar este diálogo	Seleziona uno sprite per modificare questo dialogo	выберете спрайт или предмет, чтобы редактировать прикреплённый диалог.	välj en sprite eller föremål för att ändra dess dialog	Wähle einen Sprite oder Gegenstand aus, um den Dialog zu editieren.	Veldu sprota eða hlut til að breyta þessu samtali.	Válassz ki egy sprite-ot vagy tárgyat.	elekti rolulbildon aŭ objekton por modifi ties dialogon.	Vali kuju või ese, et muuta selle dialoogi.
dialog_list_order	order:	ordre :	ordem:	orden:	ordine	порядок:	ordning:	Reihenfolge	röð:	sorrend:	ordo:	järjekord:
list_type_description_sequence	sequence (say each line once)	séquence (lit chaque phrase une fois)	sequência (diz uma fala de cada vez)	secuencia (dice cada línea una vez) 	sequenza (dice la linea ogni volta)	последовательность (показать каждую линию один раз)	sekvens (säg repliker i ordning)	Hintereinander (sage jede Zeile einmal)	runa (segir hverja setningu einu sinni)	sorozat (sorok kimondása egymás után)	sinsekvo (diru ĉiun linion unufoje)	järjend (ütle igat rida üks kord)
list_type_description_cycle	cycle (say each line, then repeat)	boucle (lit chaque phrase, puis recommence)	ciclo (diz cada fala, depois repete)	ciclo (dice cada línea, entonces repite)	ciclo (dice ogni linea, poi ripete)	цикл (показать каждую линию, потом повторить)	cykel (säg repliker i ordning och upprepa)	Schleife (sage jede Zeile einmal und fange dann von vorne an)	hringhrás (segir hverja setningu og byrjar svo aftur frá byrjun)	ismétlés (minden sor kimondása, aztán megismétlése)	ciklo (diru ĉiun linion kaj poste ripetu)	korduv (ütle igat rida üks kord, siis korda)
list_type_description_shuffle	shuffle (say lines in random order)	mélange (lit les phrases dans un ordre aléatoire)	baralho (diz falas numa ordem aleatória	shuffle (dice cada línea en un orden cualquiera)	shuffle (dice ogni linea in un ordine qualsiasi)	перемешать	blanda (säg repliker i slumpad ordning)	Mischen (sage alle Zeilen in zufälliger Reihenfolge)	stokkun (segir setningar að handahófi)	véletlen (sorok kimondása véletlen sorrendben)	mikso (diru la liniojn hazarde)	segamini (ütle igat rida suvalises järjekorras)
dialog_list_add	add line	ajouter une ligne	adicionar fala	añadir línea	aggiungere linea	добавить линию	lägg till replik	Zeile hinzufügen	ný setning	sor hozzáadása	aldoni linion	lisa rida
variable_label	variable	variable	variável	variables	variabili	переменная	variabel	Variablen	breyta	változó	variablo	muutuja
condition_type_default	default	par défault	padrão	por defecto	per difetto	по умолчанию	standard	Standard	sjálfgefið	alapértelmezett	defaŭlte	vaikevalik
condition_type_custom	custom	customisée	costumizado	personalizado	custom	специальное условие	anpassa	Benutzerdefiniert	sérval	egyedi	tajlore	määra oma tingimus
dialog_conditional_add	add option	ajouter une option	adicionar opção	añadir opción	aggiungere opzione	добавить опцию	lägg till alternativ	Option hinzufügen	nýr liður	opció hozzáadása	aldoni opcion	lisa võimalus
dialog_conditional_when	when	quand	quando	cuando	quando	если	om	Wenn	þegar	ha	kiam	kui
variable_add	add variable	ajouter une variable	adicionar variável	añadir variable	aggiungere variabile	добавить переменную	lägg till variabel	Variable hinzufügen	ný breyta	változó hozzáadása	aldoni variablon	lisa muutuja
editor_settings	editor settings	paramètres de l'éditeur	definições do editor			настройки редактора		Editor-Einstellungen	stillingar á tóli	szerkesztő beállításai	agordoj de la kreilo	bitsy seaded
game_settings	game settings	paramètres du jeu	definições do jogo			настройки игры		Spiel-Einstellungen	leikjastillingar	játékbeállítások	agordoj de la ludo	mängu seaded
font_label	font	police	fonte			шрифт		Schriftart	leturgerð	betűtípus	tiparo	font
font_ascii_small	ASCII Small	ASCII - petit	ASCII - pequeno			ASCII Small		ASCII Small	ASCII smátt	ASCII kicsi	ASCII Malgranda	ASCII Väike
font_unicode_european_small	Unicode European Small	Unicode européen - petit	Unicode Europeu - pequeno			Unicode European Small		Unicode European Small	Unicode evrópskt smátt	Unicode európai kicsi	Unikodo Eŭropa Malgranda	Unicode Euroopa Väike
font_unicode_european_large	Unicode European Large	Unicode européen - large	Unicode Europeu - grande			Unicode European Large		Unicode European Large	Unicode evrópskt stórt	Unicode európai nagy	Unikodo Eŭropa Granda	Unicode Euroopa Suur
font_unicode_asian	Unicode Asian	Unicode asiatique	Unicode Asiático			Unicode Asian		Unicode Asian	Unicode asískt	Unicode ázsiai	Unikodo Azia	Unicode Aasia
font_ascii_small_description	Small font limited to ASCII, which includes English characters and some symbols.	Petite police limitée à l'ASCII, incluant les caractères anglais et quelques symboles.	Fonte pequena limitada a ASCII que inclui caracteres ingleses e pequenos símbolos			Мелкий шрифт только для ASCII, включая английские буквы и некоторые символы		Kleine Schriftart, auf ASCII limitiert (englische Zeichen).	Smátt letur sem styður ASCII stafi. ASCII staðallinn inniheldur enska stafi og algeng tákn.	Kisméretű betűtípus az angol ábécé betűivel és néhány speciális karakterrel	Malgranda tiparo kun nur literoj de ASCII, ekskluzive ĉapelitajn literojn.	Väike font ASCII piires, mis sisaldab Inglise keel tähti ja sümboleid.
font_unicode_european_small_description	Small font with some unicode support. Includes characters for most European languages.	Petite police supportant l'unicode, incluant les caractères de la plupart des langages européens.	Fonte pequena com algum suporte para unicode. Inclui caracteres de maior parte das linguagens Europeias.			Мелкий шрифт, поддеживающий некоторые символы из юникода. включает буквы для большинства европейских языков.		Kleine Schriftart, unterstützt teilweise Unicode (fast alle Europäischen Zeichen).	Smátt letur sem styður unicode stafi. Unicode staðallinn inniheldur stafi fyrir flest evrópsk tungumál.	Kisméretű betűtípus unicode támogatással. Tartalmazza az európai nyelvek legtöbb karakterét.	Malgranda tiparo kun iom da subteno por Unikodo, inkluzive Esperanton.	Väike font, mis mõneti toetab unicode-i. Sisaldab enamus Euroopa keelte tähti.
font_unicode_european_large_description	Large font with more unicode support. Includes characters for all European languages.	Large police supportant plus d'unicode, incluant les caractères de la plupart des langages européens.	Fonte grande com mais suporte para unicode. Inclui caracteres para todas as linguas Europeias.			Крупный шрифт с более масштабной поддержкой символов из юникода. включает буквы их всех европейских языков.		Große Schriftart, unterstützt Unicode (alle Europäischen Zeichen).	Stórt letur sem styður unicode stafi. Unicode staðallinn inniheldur stafi fyrir flest evrópsk tungumál.	Nagyméretű betűtípus unicode támogatással. Tartalmazza az európai nyelvek legtöbb karakterét.	Granda tiparo kun pli da subteno por Unikodo. Havas literojn por ĉiuj eŭropaj lingvoj.	Suur font, mis toetab rohkem unicode-i. Sisaldab kõike Euroopa keelte tähti.
font_unicode_asian_description	Large font which includes characters for Asian languages such as Chinese, Japanese, and Korean.	Large police incluant les caractères de langues asiatiques, comme le chinois, le japonais ou le coréen.	Fonte grande que inclui caracteres para linguagens asiáticas como o Chinês, o Japonês e o Coreano.			Крупный шрифт, включающий символы из китайского, японского, корейского и других языков Азии.		Große Schriftart, unterstützt Asiatische Zeichen für z.B. Japan, China, Korea.	Stórt letur sem inniheldur stafi fyrir asísk tungumál svo sem kínversku, japönsku, og kóresku.	Nagyméretű betűtípus, tartalmazza a legtöbb ázsiai nyelv karaktereit, mint a kínai, japán és a koreai.	Granda tiparo kun signoj por Aziaj lingvoj ekz. la ĉina, la japana, la korea.	Suur font, mis sisaldab Aasia keelte tähti nagu näiteks Hiina, Jaapani ja Korea.
font_custom_description	Upload your own custom font in the ".bitsyfont" format!	Importe ta propre police customisée dans le format ".bitsy"!	 Envia a tua própria fonte costumizada no formato ".bitsyfont"			Загрузить собственный шрифт в формате ".bitsyfont".		Lade deine eigene Schriftart im ".bitsyfont" Format hoch!	Notaðu þína eigin leturgerð með því að hlaða inn ".bitsyfont" skrá!	Töltsd fel a saját betűtípusodat ".bitsyfont" formátumban!	Alŝutu vian propran tiparon de la formato '.bitsyfont'!	Lae üles oma font ".bitsyfont" formaadis!
download_font	download font	télécharger la police	descarregar fonte			загрузить шрифт		Schriftart herunterladen	hala niður leturgerð	betűtípus letöltése	elŝuti tiparon	lae alla font
download_data	download data	télécharger les données	descarregar data			загрузить данные		Daten herunterladen	hala niður gögnum	adatok letöltése	elŝuti datumojn	lae alla andmed
default_title	Write your game's title here	Ecris le nom de ton jeu ici	Escreve o título do teu jogo aqui			Напишите здесь название игры		Hier solltest du deinen Spieltitel hinschreiben	Skrifaðu heiti leiksins þíns hér	Írd ide a játékod címét	Enskribu la titolon de via ludo ĉi tie	Kirjuta oma mängu pealkiri siia
font_missing_character	The current font is missing some of the characters used in your dialog. Not all text in your game will display correctly. Consider picking a different font in the settings.	Certains caractères utilisés dans tes dialogues ne sont pas présents dans la police d'écriture sélectionnée. Certains textes ne s'afficheront pas correctement. Peut-être devrais-tu changer de police d'écriture dans les paramètres.	A fonte actual não possui alguns dos caracteres usados no teu diálogo. Partes do texto no teu jogo podem não aparecer correctamente. Considera escolher uma fonte diferente nas definições.			Выбранный шрифт не поддерживает некоторые символы, использованные в диалогах. Не весь текст в игре будет отображён правильным образом. Вы можете выбрать другой шрифт в настройках.		Die aktuelle Schriftart unterstützt nicht alle Zeichen aus deinem Dialog. Das kann merkwürdig aussehen. Wähle lieber eine andere Schriftart in den Einstellungen.	Valið letur inniheldur ekki alla stafi sem koma fyrir í textanum þínum. Stafir sem eru ekki til staðir verða ekki sýnilegir í leiknum. Þú getur prófað að velja annað letur í leikjastillingunum.	A kiválasztott betűtípus nem tartalmazza az összes betűt, amit használsz. Válassz egy másik betűtípust a beálllításoknál!	Al la nuna tiparo mankas kelkaj de la signoj uzitaj en via dialogo. La teksto de via ludo ne aperos komplete ĝuste. Konsideru elekti alian tiparon en la agordoj.	Valitud fondil puudub mõned tähed, mida oled kasutanud oma dialoogis. Osa sinu mängu tekstist ei ilmu õigesti. Ehk tahad valida teist fonti seadetes.
open_settings	open settings	ouvrir les paramètres	abrir definições			открыть настройки		Öffne Einstellungen	opna stillingar	beállítások megnyitása	malfermi agordojn	ava seaded
close_label	close	fermer	fechar			закрыть		Schließen	loka	bezárás	fermi	sulge
exit_click_add	click space in room to add exit											
font_data_toggle_visible	font data											
font_arabic_pixel	Arabic Pixel 2											
font_arabic_pixel_description	Pixel font with Arabic characters, by @alex_clay_											
text_direction_label	text direction											
text_direction_ltr	Left to Right											
text_direction_rtl	Right to Left											
text_direction_description	Option for languages that read right to left											
reset_game_message	Starting a new game will erase your old data. Consider exporting your work first! Are you sure you want to start over?											
